,link,text,author_name,screen_name,ohi
32181,https://twitter.com/PredictionMan/status/1618396387120668672,"start video at 3:25 mark. The Trump Lookalike is a puppet of Rothschild bent on dividing Trump Supporters! Do Not fall for this Deep State Trick!!!
https://t.co/gy7buq9mu5",PredictionMan,PredictionMan,0.994065881
90495,https://twitter.com/openthebooksaus/status/1620185706059677696,@margo694 @macsween_prue @Dom_Perrottet @abcsydney @ClubsNSW Tell that to the joos controlling every aspect of our government and lives,GlamisTheHelperMouse 🐭,openthebooksaus,0.99349916
91307,https://twitter.com/openthebooksaus/status/1616597829258182656,@elonmusk @DavidSacks Of course you are. ((They)) own you,GlamisTheHelperMouse 🐭,openthebooksaus,0.992974639
53968,https://twitter.com/D_A_G_Chaos/status/1619394258829713408,"@miruneverdies @cirnosad Three points:

1: jews lie ... they always lie

2: Zelensky is a f-in jew [so yes, he'll get a *little* help from Israel

3: Putin is not a spaz ... the dude who basically saved Russia is now somehow a cuck",Niccolò🦎📜☢️🔴,D_A_G_Chaos,0.992878616
90982,https://twitter.com/openthebooksaus/status/1617348633221029888,@amuse @LaceyBanis ((They)) know what they are doing,GlamisTheHelperMouse 🐭,openthebooksaus,0.992864728
91297,https://twitter.com/openthebooksaus/status/1616660390037065728,@HanzPow @sandwich_juan The fake khazar joos hate the west,GlamisTheHelperMouse 🐭,openthebooksaus,0.992725015
85720,https://twitter.com/TreifEater/status/1620126798498627584,@rtenews I'm glad that .00002 of the world population (((Jews))) have you so utterly fucked up.  Lol at your fragility,Critical Race Weary 🏳️‍🌈,TreifEater,0.992393374
91211,https://twitter.com/openthebooksaus/status/1616766497111838720,@shmuelcshapira Nobody cares anymore. Not until we have the truth about the harm the Khazarian fake Jews have done to the world,GlamisTheHelperMouse 🐭,openthebooksaus,0.992229402
157886,https://twitter.com/DMashak/status/1618126548862656512,"…implement their true evil, reprehensible agenda and goals.

At some point, the Trillionaire Banking Rothschild family either created or usurped control of Social Darwinism and its rebranded successor organizations.",Don Mashak,DMashak,0.992000222
170230,https://twitter.com/Article4Warrior/status/1620455843572637696,@c_w_d101 @timand2037 They have Star Link. And the state &amp; Soros run/own the media.,Empowered Rights,Article4Warrior,0.99181211
91013,https://twitter.com/openthebooksaus/status/1617251358687780864,@real2023Oz @JaneCaro The Bolshevik fake joos have been doing this forever,GlamisTheHelperMouse 🐭,openthebooksaus,0.991748452
90421,https://twitter.com/openthebooksaus/status/1620396448876732416,@Govtandpolitics @carolvorders @julesbrown12 @JewishNewsUK The Khazarian zionist mafia run Australia as well,GlamisTheHelperMouse 🐭,openthebooksaus,0.991603315
155759,https://twitter.com/LennyDykstra/status/1618271763284258816,Fuck the Soros-promoted Ranked-Choice-Voting Scheme https://t.co/dHxPjhCO3l,Lenny Dykstra,LennyDykstra,0.991554439
41203,https://twitter.com/neilgibson27/status/1616956919431966720,Fuk the RNLI soros run operation https://t.co/SlEaSNltIm,Neil Gibson🔱,neilgibson27,0.99116981
91020,https://twitter.com/openthebooksaus/status/1617248652187271168,@CilComLFC Bc it’s Khazarian jooish stronghold. They hold mirrored data on all of us. Criminal enterprise,GlamisTheHelperMouse 🐭,openthebooksaus,0.991152704
90693,https://twitter.com/openthebooksaus/status/1618809130470477824,@RonFilipkowski Actually the war will end when the truth about the Khazars comes out.,GlamisTheHelperMouse 🐭,openthebooksaus,0.991118252
2305,https://twitter.com/AA7YA/status/1617146703026454528,@kellytx2 Democrats and Soros funded DA's are soft on crime.,AA7YA 🇺🇸,AA7YA,0.991118252
174213,https://twitter.com/SheSaz/status/1620185286134358016,Until we get rid of the unelected bodies that seek to depopulate &amp; control this nation and in fact the world we will never have peace.  #WEF2023 #globalists #UnitedNations #Soros #rothschild #BillGates #COP27 #Davos https://t.co/QDFoG1nInN,Jamie Doe,SheSaz,0.99108386
90523,https://twitter.com/openthebooksaus/status/1620038312747757568,@RonFilipkowski Good. It all ends up in the bank accounts of Khazarian joos anyway,GlamisTheHelperMouse 🐭,openthebooksaus,0.99080348
