,link,text,author_name,screen_name,ohi
583324,https://twitter.com/jayhawkjenn/status/1624008883369922560,"@Qualms19 @Latentem I spent about 1/2 time in St Louis back in the 90s for work. Sad it has gone the same way.

Soros prosecutors are ruining our cities.",JayhawkJenn,jayhawkjenn,0.991237819
516664,https://twitter.com/baptizedin88/status/1624506619374764032,"@GncDisrespecter She's half jew, half black, and has gone on record hating white people.

That's why the (((studios))) and the (((mainstream))) are trying to push this monstrosity with man shoulders onto you.

There's the 'why'. You're welcome",🔥BAPTIZED🔥 in 88,baptizedin88,0.991203904
1020731,https://twitter.com/overmanwarrior/status/1625118079201017856,"Soros has purposely funded the destruction of America.  That was called sedition the last time I checked. Crime has risen under watch of Soros-backed prosecutors

I found this article on MxM News--a new app without media bias or censorship.

 https://t.co/oUMxMW4rlh",Rich Hoffman,overmanwarrior,0.991152704
418404,https://twitter.com/forloveofJ/status/1624237648280948736,"@CoryMcGarr Corey, it’s typical to choose incompetence in candidates, as they are more easily controlled by their Soros paid overlords.",MalindaSherwyn,forloveofJ,0.991152704
1005179,https://twitter.com/Catz4maga/status/1625526752104546304,@DistributedInt1 @GonzaloLira1968 Getting rid of the electric jew the best decision one can make! TV is poison.,"Meow, Or Scratch?",Catz4maga,0.990838945
1165110,https://twitter.com/SGTreport/status/1624127922490511360,Joe Biden and his criminal (Victoria Nuland) zionist administration will take us all straight into WW3 if they can. They are trying hard. They are all #PureEvil. https://t.co/2CyJqwQ5nR,SGTreport,SGTreport,0.990821302
356647,https://twitter.com/Aldo_9111/status/1623411529575198720,@Slytherin_Quxxn @wowowo34224657 @daisy061512 The Federal Reserve is a world wide thing. The Rothschilds are fake Jewish their real name is Bayer. The Chinese own some the middle east ect. The IRS is just an collection agency for the Fed's,Life-Force Aldo 🐚👣🐚,Aldo_9111,0.99080348
1099302,https://twitter.com/JewWishAshke/status/1625625638680887296,Amnesty was never committed to truth. They have been a bastardizes jewhating org since before you were born. https://t.co/3jkKuVmMRk,NoShtickJewishChick,JewWishAshke,0.990660012
1066770,https://twitter.com/SNRay61/status/1624602231168290816,Joe Biden has always been a liar and a failure that's why Soros and Obama placed him in the White House so they can be his puppeteers.,Tad's Mom ULTRAMAGA,SNRay61,0.990641892
1501376,https://twitter.com/FreeDacian/status/1624670534712586240,@wayotworld and yet again these jews with their supremacism against Europeans and Christians.,Free,FreeDacian,0.990641892
628915,https://twitter.com/Columcilled/status/1623361852649373696,"@cumbia_con @CultureWarsMag The ""antisemites"" he expelled were no such thing. They were America Firsters. 

Today both parties are Israel Firsters. 

That's why we are in Ukraine and starting WW3. 

Buckley is responsible. 

Conservativism is a dead ideology as Americans wake up to Jewish supremacy.",Sanctum Oleum,Columcilled,0.990605652
1460340,https://twitter.com/TLRyon/status/1623863874062630912,@SparkyBru We need to expose all Soros supported DA’s…,T.L Ryon🙋🏻,TLRyon,0.990514278
658622,https://twitter.com/openthebooksaus/status/1623830610816147456,@ggreenwald Why is it always ((them)),GlamisTheHelperMouse 🐭,openthebooksaus,0.990403533
418411,https://twitter.com/forloveofJ/status/1624000545433460736,@WendyRogersAZ @GovernorHobbs The trend is to put up incompetent candidates so they are more easily controlled by the Soros funded NGOs.,MalindaSherwyn,forloveofJ,0.99036634
1073037,https://twitter.com/888algc/status/1623387695597731840,@thecoastguy Never underestimate our Zionist Mafia Psychopathic rulers and their puppets because they have now made it very clear you are well and truly in their sights.,ALGC #NO-2-5G #RZST,888algc,0.99036634
