,link,text,author_name,screen_name,ohi
628,https://twitter.com/OfficialNOI/status/1630680612087517185,"Farrakhan calls out the Synagogue of Satan https://t.co/goOBN08Ms8 via @thefinalcall 

#Farrakhan #SD2023 https://t.co/YS2o53Ox9X",The Nation of Islam,OfficialNOI,0.991570711
8534,https://twitter.com/ali/status/1633235491586703362,"The ADL just called the Jews: 

“warmongers, globalists, and communists”",Ali Alexander,ali,0.969295144
7995,https://twitter.com/gatewaypundit/status/1633110043611611143,AP Writer Urged to Correct Mistakes in Glowing Report Defending ERIC System and Its Soros Seed Money – We Have the… https://t.co/Pa3jbYUo3X,The Gateway Pundit,gatewaypundit,0.937038124
2548,https://twitter.com/OfficialNOI/status/1631324552830566401,"THREAD.

Who has been falsely charged with being anti-Semitic by The Synagogue of Satan @ADL @JGreenblattADL… https://t.co/7NvE2b9C4C",The Nation of Islam,OfficialNOI,0.930899262
7221,https://twitter.com/GeoRebekah/status/1632835691129233409,Recirculating this given the recent revelations about the #FloridaFuhrer,Rebekah Jones,GeoRebekah,0.930710554
